id,word,meaning,section,page
1,create,を創り出す；を引き起こす,1,20
2,increase,増加する；を増やす,1,20
3,improve,を向上させる；よくなる,1,20
4,mean,を意味する；(…する)つもりである(to do),1,20
5,own,を所有している；(事実・罪など)を認める,1,20
6,include,を含む,1,21
7,consider,を見なす；について考える,1,21
8,allow,を許す；を与える；(～を)考慮に入れる(for),1,21
9,suggest,を提案する；を暗示する,1,21
10,produce,を生産する；を取り出す,1,21
11,decide,を決める；に決着をつける,1,22
12,offer,を提供する，申し出る,1,22
13,require,を要求する；を必要とする,1,22
14,share,を共有する；を分担する,1,22
15,store,を保存する；を蓄える,1,22
16,tend,傾向がある；を世話する,1,23
17,concern,〔受身形で〕心配している；〔受身形で〕(～に)関係する(with)；に関連する,1,23
18,describe,について述べる，を説明する,1,23
19,involve,を関与させる；を伴う,1,23
20,reduce,を減らす；を(～に)変える(to),1,23
21,design,を設計する；を計画する,1,24
22,force,に強いる；を強要する,1,24
23,limit,を制限［規制］する,1,24
24,bear,に耐える；を負う；を産む；を(心に)抱く,1,24
25,affect,に影響を及ぼす；を感動させる,1,24
26,deal,〔＋withで〕を処理する；〔＋inで〕を商う；を分配する,1,25
27,avoid,を避ける,1,25
28,relate,を関連づける；(～に)関連する(to),1,25
29,realize,に気づく；を実現する,1,25
30,encourage,を奨励する；を励ます,1,25
31,compare,を比較する；を(～に)たとえる(to),1,26
32,measure,を測る；を(比較して)評価する,1,26
33,exist,存在する；生存する,1,26
34,mark,に印をつける；を(記号で)示す；に汚れをつける,1,26
35,challenge,に異議を唱える；(人)に挑む,1,26
36,depend,頼る；～次第である,1,27
37,object,反対する；(…)と言って反対する(that節),1,27
38,demand,を要求する,1,27
39,found,を設立する；(理論など)を(～に基づいて)築く(on),1,27
40,complete,を完成させる，仕上げる,1,27
41,idea,考え，思いつき；理解；見解；概念,1,28
42,accord,一致；合意，協定,1,28
43,company,会社；〔集合的に〕仲間；(仲間と)一緒にいること；一座,1,28
44,interest,興味；利子；利害,1,28
45,research,(～についての)研究，調査(into / on / in),1,28
46,cause,原因；理由；大義,1,29
47,reason,理由；(…する)根拠(to do)；理性；分別,1,29
48,effect,影響，効果；結果,1,29
49,influence,影響(力),1,29
50,situation,状況；(人の置かれた)立場,1,29
51,environment,環境,1,30
52,skill,技能；熟練,1,30
